timestamp,carrotcartoon_4_4.png,dishescartoon_6_1.png,dishescartoon_2_1.png,carrotcartoon_6_4.png,dishescartoon_2_8.png,carrotcartoon_4_8.png,dishescartoon_4_4.png,carrotcartoon_6_8.png,dishescartoon_6_8.png,carrotcartoon_2_8.png,dishescartoon_4_1.png,dishescartoon_6_4.png,carrotcartoon_2_4.png,carrotcartoon_4_1.png,dishescartoon_4_8.png,dishescartoon_2_4.png,carrotcartoon_2_1.png,carrotcartoon_6_1.png,consent,trial_type,trial_index,time_elapsed,view_history,viewing_time,rt,agents,plates,language,enjoyment,assess,age,gender_cat,gender_text,education,comments
1738867927840,7,6,9,5,9,6,6,4,3,9,6,3,10,6,6,10,9,3,true,post_survey,21,346098,page_index:0,121720,121721,3,3,english,better,y,37,f,,college,no
1738857071102,1,1,10,1,8,3,3,1,1,9,1,1,9,2,4,9,9,1,true,post_survey,21,336617,page_index:0,12204,12205,3,3,english,worse,y,51,f,,college,
1738867831198,2,1,2,1,10,2,4,1,9,10,1,1,10,2,10,10,10,1,true,post_survey,21,263079,page_index:0,24369,24369,3,3,English,average,y,39,m,,some-college,
1738867837022,2,4,10,3,10,2,5,3,4,10,6,5,9,1,9,10,1,1,true,post_survey,21,300598,page_index:0,44071,44071,3,3,english,average,y,47,f,,some-college,
1738867990717,5,1,1,2,10,5,5,2,3,10,1,2,10,1,8,10,10,1,true,post_survey,21,451397,page_index:0,26134,26134,3,3,English,better,y,54,m,,some-college,I just thought if they would be a help or in the way.
1738868038657,6,2,6,3,6,3,5,3,1,8,3,1,8,1,1,7,2,2,true,post_survey,21,476621,page_index:0,16983,16984,3,3,English,average,y,47,m,,high,I tried to observe how many knives/cutting boards
1738867993993,1,1,10,1,10,1,1,1,1,10,1,1,10,1,1,10,10,1,true,post_survey,21,426362,page_index:0,176370,176371,3,3,English,better,y,29,m,,college,If there were already three or more people helping
1738856130554,1,1,2,1,9,1,2,1,2,5,1,1,1,,2,7,2,1,true,post_survey,21,195386,page_index:0,15975,15975,3,3,English,average,y,40,f,,some-college,
1738865934170,3,1,8,1,9,2,1,1,1,10,1,1,8,1,3,9,3,1,true,post_survey,21,362261,page_index:0,2325,2326,3,3,English,average,y,39,m,,college,I used my knowledge of the game Overcooked to my advantage. The amount of cutting boards mattered
1738865920909,1,1,2,1,10,1,1,1,1,7,1,1,7,1,1,10,7,1,true,post_survey,21,348660,page_index:0,12309,12310,3,3,English,better,y,66,f,,college,I mainly thought about my own experiences and Im familiar with how these tasks go.
1738866364043,3,3,3,3,9,3,8,4,10,7,4,6,5,3,8,6,3,5,true,post_survey,21,383997,page_index:0,39322,39322,3,2,English,average,y,31,f,,high,No
1738868617477,4,3,7,2,7,4,4,3,3,7,4,3,3,4,3,7,7,3,true,post_survey,21,781189,page_index:0,398077,398077,3,3,ENGLISH,average,y,64,f,,some-college,NO
1738851656534,2,4,1,2,8,4,5,1,3,5,2,3,4,2,3,6,6,2,true,post_survey,21,348323,page_index:0,9667,9668,3,3,English,worse,y,35,m,,some-college,(If I understood the instructions correctly) I felt like it made sense that the red guests contributions would be more notable with a smaller pool of people - If there were only two people
1738865840964,1,1,2,1,10,1,6,1,8,10,1,2,10,1,10,10,2,1,true,post_survey,21,319880,page_index:0,14051,14051,3,3,English,better,y,52,f,,grad,I looked at how much work was to do
1738865995741,6,2,5,3,9,8,5,4,6,8,2,7,7,2,6,7,8,3,true,post_survey,21,361057,page_index:0,11698,11698,3,3,English,better,y,49,f,,college,I looked at the number of carrots or dishes that needed to be taken care of and then compared it to the number of guests who were available to help. I then determined whether or not the red guest would have made much difference in contributing.
