timestamp,,1agents1computer100flashcards,4agents6computers1flashcards,6agents2computers100flashcards,6agents6computers1flashcards,6agents2computers10flashcards,2agents2computers100flashcards,6agents6computers100flashcards,4agents2computers10flashcards,6agents6computers10flashcards,2agents2computers1flashcards,2agents6computers1flashcards,4agents6computers100flashcards,4agents2computers100flashcards,2agents6computers10flashcards,2agents2computers10flashcards,4agents2computers1flashcards,6agents2computers1flashcards,2agents6computers100flashcards,4agents6computers10flashcards,consent,time_elapsed,internal_node_id,view_history,viewing_time,rt,students,computers,flashcards,language,enjoyment,assess,age,gender_cat,gender_text,education,comments,Looked at images of computers and how many vocabulary words were needed
1739559607171,5,,10,3,10,5,1,1,5,4,10,10,1,2,1,1,10,10,1,5,true,281220,0.0-21.0,page_index:0,14690,14690,1,1,100,English,better,y,32,f,,college,low number of flash cards = more acceptable to not contributenlow number of students = less acceptablenmore computers than kids = kind of more acceptablen2+ kids,
1739559130458,1,,2,9,3,9,1,1,7,2,2,4,2,7,2,1,7,9,2,1,true,475625,0.0-21.0,page_index:0,2596,2597,1,1,100,English,better,y,35,m,,,None,
1739559767675,5,,9,7,9,5,2,7,5,7,4,8,4,6,6,3,7,9,4,7,true,171776,0.0-21.0,page_index:0,15495,15496,1,1,100,English,average,y,39,m,,college,N/A,
1739559909533,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true,241924,0.0-21.0,page_index:0,23951,23951,1,1,100,English,average,confused,41,f,,some-college,I was thinking no matter how many computers there were and how many flashcards,
1739559970317,3,,3,4,5,4,1,1,3,1,8,1,1,3,1,1,3,6,1,3,true,350613,0.0-21.0,page_index:0,33236,33236,1,1,100,English,average,y,45,f,,college,I graded more harshly for non-participation when the number of words was higher. I graded less harshly when there were not enough computers for all participants.,
1739559397733,3,,8,1,6,4,1,1,4,4,5,5,1,1,3,5,6,8,1,4,true,451095,0.0-21.0,page_index:0,105868,105868,1,1,100,English,worse,y,35,m,,some-college,No.,
1739560409748,7,,9,5,9,6,1,5,4,8,6,9,1,3,5,4,8,8,1,7,true,630838,0.0-21.0,page_index:0,171060,171061,1,1,100,English,better,y,28,m,,high,I based my answers on how the red student not contributing would affect the other students. ,
1739558837699,1,,4,7,6,5,1,1,1,1,5,10,1,1,1,1,10,9,1,1,true,286709,0.0-21.0,page_index:0,50435,50437,1,1,100,English,average,y,44,f,,some-college,No,
1739554788727,9,,6,2,6,3,1,1,7,3,5,7,2,7,2,2,9,9,1,3,true,170121,0.0-21.0,page_index:0,15284,15284,1,1,100,English,better,y,52,m,,college,,
1739559772445,9,,10,6,9,8,1,1,7,2,8,9,1,7,1,1,10,10,1,1,true,168385,0.0-21.0,page_index:0,21524,21525,1,1,100,English,average,y,28,m,,college,If there were enough computers and there was more than 1 word required,
1739559928633,1,,1,1,10,3,1,1,2,1,10,1,1,1,1,1,10,1,1,1,true,295052,0.0-21.0,page_index:0,18335,18336,1,1,100,English,average,y,33,f,,some-college,I assumed that the students could trade/take turns with the computer (when there werent enough computers for everyone to use simultaneously).,
1739559841250,10,,10,9,10,10,1,1,9,9,10,10,1,7,8,7,10,10,1,9,true,184427,0.0-21.0,page_index:0,12820,12820,1,1,100,english,better,y,30,f,,college,compared ratio of students to computer to number of words needed to type.,
1739557708528,6,,5,8,7,7,4,5,5,7,5,4,3,6,4,8,7,7,2,7,true,166162,0.0-21.0,page_index:0,30148,30148,1,1,100,english,average,confused,38,f,,high,I didnt understand the questions,
1739560190283,9,,9,6,9,7,1,1,5,1,1,6,1,5,1,1,9,8,1,1,true,611824,0.0-21.0,page_index:0,183868,183868,1,1,100,English,better,y,34,m,,some-college,I just tried to look at the numbers of each resource (computers,
1739558468288,1,,10,7,10,9,1,2,8,4,10,10,1,6,4,4,10,10,1,7,true,264976,0.0-21.0,page_index:0,20108,20108,1,1,100,English,better,y,50,f,,college,I focused the most on how many vocabulary words there were and found it less acceptable to not contribute if there were more words.,
1739559896647,10,,9,6,10,9,1,1,8,3,9,9,1,7,1,1,8,10,1,2,true,282956,0.0-21.0,page_index:0,25866,25866,1,1,100,English,average,y,35,m,,some-high,no i just went with what i thought as the right answer based on the amount of studens,
1739558524210,8,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,true,227443,0.0-21.0,page_index:0,24038,24038,1,1,100,English,average,y,44,m,,college,No just that its acceptable for a person to not have school be there thing. ,
1739558483371,4,,7,5,5,6,3,4,6,6,6,5,3,5,4,5,5,7,5,2,true,286570,0.0-21.0,page_index:0,12948,12948,1,1,100,English,average,y,44,m,,grad,eventually learned as to how many other students had access to typing and how many vocab cards needed to be typed up,
1739560107870,10,,3,4,8,4,1,1,6,2,1,3,1,1,1,1,10,6,1,1,true,350893,0.0-21.0,page_index:0,23473,23475,1,1,100,,better,y,40,f,,college,Read carefully and determine how easy it would be to contribute.,
1739559777216,10,,10,7,1,2,1,1,7,8,10,10,1,6,4,4,10,9,1,1,true,129743,0.0-21.0,page_index:0,10334,10334,1,1,100,english,better,y,38,m,,college,,
1739558857077,9,,8,4,9,8,1,3,4,4,8,9,1,7,5,5,9,9,1,5,true,329202,0.0-21.0,page_index:0,55525,55527,1,1,100,Spanish,better,y,62,f,,college,Mainly,
1739559809699,10,,10,4,10,8,1,1,9,1,10,10,1,5,1,1,10,10,1,4,true,226922,0.0-21.0,page_index:0,11624,11625,1,1,100,English,better,y,34,m,,grad,No,
1739557517461,3,,10,10,10,9,1,3,9,8,9,7,3,2,7,2,10,10,2,7,true,227534,0.0-21.0,page_index:0,77834,77834,1,1,100,English,better,y,38,m,,some-college,,
1739558622769,2,,6,1,2,1,1,2,3,2,2,6,1,1,1,1,3,6,1,3,true,188711,0.0-21.0,page_index:0,31468,31470,1,1,100,english,average,y,28,f,,some-college,no,
1739558588044,3,,8,6,9,7,1,2,7,4,8,6,2,4,3,2,9,8,1,7,true,271822,0.0-21.0,page_index:0,25264,25264,1,1,100,english,average,y,61,f,,college,looked at if there were enough computers and how many flash cards needed typing,
1739554003271,2,,10,1,10,3,1,1,5,2,10,10,1,1,2,2,10,10,1,2,true,269960,0.0-21.0,page_index:0,21684,21684,1,1,100,English,average,y,43,f,,college,,
1739560199450,1,,9,1,10,7,3,1,6,7,8,8,2,3,4,6,10,8,1,5,true,470838,0.0-21.0,page_index:0,48242,48242,1,1,100,English,average,confused,62,f,,college,I based most of my answers according to how many flashcard words were actually made vs. the number of students.,
1739560215599,4,,8,7,6,6,1,5,8,5,4,6,6,6,4,3,9,9,1,6,true,497883,0.0-21.0,page_index:0,25174,25175,1,1,100,English,better,y,68,m,,college,I mainly looked at how many words were put on flashcards and how many other students were involved,
1739558449578,9,,10,1,10,10,1,1,8,1,10,10,1,3,9,5,4,10,1,9,true,172503,0.0-21.0,page_index:0,7082,7082,1,1,100,English,average,y,45,m,,some-college,NA,
1739559890322,3,,3,10,1,10,1,1,8,1,1,1,3,10,1,1,8,10,1,1,true,300292,0.0-21.0,page_index:0,19792,19792,1,1,100,English,average,y,36,m,,grad,I based my decision off of how many computers there were and how many students there were,
1739559867230,1,,3,3,8,3,1,3,5,5,6,2,3,3,2,4,3,7,2,5,true,212768,0.0-21.0,page_index:0,27205,27205,1,1,100,english,better,y,51,m,,college,,
1739557999552,5,,6,7,9,4,1,3,5,5,5,5,3,5,1,2,8,9,1,4,true,576764,0.0-21.0,page_index:0,74031,74031,1,1,100,English,average,y,27,m,,some-high,I would determine the amount of work needed,
1739560246699,5,,5,1,5,3,1,1,3,1,5,5,1,1,1,1,5,5,1,2,true,232545,0.0-21.0,page_index:0,11571,11571,1,1,100,English,average,y,42,m,,grad,No.,
1739559824681,10,,10,10,10,10,1,1,9,3,10,10,1,8,4,1,10,10,1,3,true,237722,0.0-21.0,page_index:0,17766,17766,1,1,100,English,average,y,29,m,,college,I looked at the amount of available computers and the amount of flashcards,
1739555819558,8,,8,6,8,6,1,1,4,5,1,1,1,4,1,1,4,9,1,7,true,188051,0.0-21.0,page_index:0,13485,13485,1,1,100,English,better,y,51,f,,grad,I thought about how I would feel working with the red student and if they didnt contribute. ,
1739558877312,7,,1,7,1,7,1,1,7,1,1,1,1,7,1,1,6,7,1,1,true,225739,0.0-21.0,page_index:0,7725,7726,1,1,100,English,better,y,32,f,,high,I thought that if there were not enough computers for all of the students then not helping would be acceptable. But if all of the students had access to the computer to help and chose not to than no matter how many flashcards there are that is unacceptable. ,
1739560081307,1,,10,3,10,4,1,1,4,2,10,10,1,2,1,1,10,10,1,3,true,188602,0.0-21.0,page_index:0,31229,31229,1,1,100,English,average,n,30,nb,,college,,
1739557529294,3,,5,8,3,9,3,8,7,3,3,6,8,8,3,3,6,7,9,7,true,317030,0.0-21.0,page_index:0,64816,64820,3,3,3,English,average,y,56,m,,college,The less available computers,
1739554896073,6,,2,5,7,4,8,6,5,4,6,3,5,7,8,6,5,6,10,5,true,238890,0.0-21.0,page_index:0,18972,18973,1,1,100,English,better,y,48,m,,college,Number of words an the amount of students,
1739558737339,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,true,299598,0.0-21.0,page_index:0,49748,49748,3,1,100,English,better,y,55,f,,college,no,
1739559823714,1,,7,5,9,4,1,1,3,1,5,5,1,3,2,1,9,9,1,1,true,166867,0.0-21.0,page_index:0,24417,24418,1,1,100,English,better,y,32,m,,college,No,
1739559927215,9,,10,7,1,9,1,1,8,1,1,9,1,8,1,1,9,10,1,1,true,221913,0.0-21.0,page_index:0,24499,24502,1,1,100,english,average,y,52,m,,some-college,number of students vs number of computers vs how many words required,
1739559870677,2,,3,3,3,3,2,2,5,2,1,2,1,6,1,2,4,3,1,2,true,134605,0.0-21.0,page_index:0,2605,2605,1,1,100,English,better,y,29,f,,some-college,,
1739559859823,6,,6,9,1,8,1,1,8,1,5,1,1,4,1,1,8,10,1,7,true,172952,0.0-21.0,page_index:0,12860,12860,1,1,100,English,average,y,37,m,,college,I looked at how many flash cards needed to be done along with how many computers were available and how many workers there were.,
1739558838823,10,,1,10,10,10,1,10,10,1,10,10,1,10,10,10,10,10,1,10,true,181134,0.0-21.0,page_index:0,47918,47918,1,1,100,English,better,y,52,f,,college,no,
